id_aktivitas,nip,nama_aktivitas,tanggal_pengerjaan,durasi
A01,199811232021151002,Melakukan pengiklanan produk berbayar melalui Facebook,12-Dec-2019,297
A02,199306182021152007,Melakukan implementasi ide terhadap produk yang akan didesain,21-Sep-2017,444
A03,198902142021152011,Memodelkan suatu data untuk kebutuhan konsumen dalam experience terhadap aplikasi,17-May-2018,151
A04,198510102021151015,Menguji kelayakan berdasarkan kualitas dan kuantitas yang disesuaikan dengan harga,19-Jul-2020,447
A05,198801132021151012,Penelitian terhadap ceruk atau niche market yang cocok,16-Apr-2019,346
A06,199609212021151004,Pembersihan data customer yang mempunyai data tidak teratur,14-Feb-2018,219
A07,199104162021151009,Pengembangan software untuk aplikasi smartphone,11-Nov-2019,236
A08,198712122021151013,Merangkum material dari hasil kerja penelitian desain produk,23-Nov-2019,486
A09,199710222021151003,Melakukan kuseioner terhadap pengujian UX pada tim uji perusahaan,13-Jan-2019,380
A10,199407192021151006,Melakukan pengimplementasian API untuk pemasangan aplikasi,18-Jun-2020,557
A11,199508202021151005,Kegiatan untuk merancang product yang telah lulus uji,24-Dec-2017,236
A12,199912242021151001,Alat yang digunakan untuk mendukung sebuah pekerjaan,20-Aug-2020,162
A13,199205172021152008,Membagi dan menentukan durasi atau waktu untuk kegiatan tertentu,22-Oct-2020,325
A14,198611112021152014,Menganalisa kebutuhan biaya yang dikeluarkan oleh perusahaan,15-Mar-2019,584
A15,199003152021151010,Melakukan printing sebagai acuan final design dalam pembuatan produk,10-Oct-2018,215
